feature,importance
cluster_id,1459
month,1149
accident_freq_historical,1137
day_of_week,850
hour,344
rolling_30day_accidents,277
is_holiday,181
road_type_highway,119
pressure_in,90
moving_avg_30day,82
is_weekend,76
temperature_f,62
rolling_7day_accidents,56
humidity,46
moving_avg_3day,19
accidents_last_24h,18
accidents_last_7days,14
is_rush_hour,12
wind_speed_mph,8
moving_avg_7day,1
precipitation_in,0
visibility_mi,0
is_severe_weather,0
